,,Jennifer Ann Kiggans,Elaine G. Luria,Write-Ins,Total Votes Cast,Undervotes
,,Republican,Democratic,,,
Precinct,056 - Precinct 56,453,315,0,768,0
Precinct,057 - Precinct 57,516,321,4,841,0
Precinct,58 - Precinct 58,439,399,1,839,0
Precinct,59 - Precinct 59,461,387,1,849,0
Precinct,60 - Precinct 60,976,469,4,1449,0
Precinct,061 - Precinct 61,156,709,3,868,0
Precinct,62 - Precinct 62,778,540,0,1318,0
Precinct,063 - Precinct 63,853,618,1,1472,0
Precinct,064 - Precinct 64,666,601,0,1267,0
Precinct,065 - Precinct 65,672,633,2,1307,0
Precinct,066 - Precinct 66,701,408,2,1111,0
Precinct,67 - Precinct 67,261,297,0,558,0
Precinct,068 - Precinct 68,679,512,1,1192,0
Precinct,069 - Precinct 69,302,613,1,916,0
Precinct,070 - Precinct 70,654,514,2,1170,0
Precinct,071 - Precinct 71,485,493,3,981,0
Precinct,072 - Precinct 72,781,461,3,1245,0
Precinct,73 - Precinct 73,295,500,2,797,0
Precinct,74 - Precinct 74,324,449,2,775,0
Precinct,075 - Precinct 75,878,448,1,1327,0
Precinct,076 - Precinct 76,295,487,1,783,0
Precinct,77 - Precinct 77,574,440,4,1018,0
Precinct,078 - Precinct 78,480,504,6,990,0
Precinct,79 - Precinct 79,327,606,0,933,0
Precinct,80 - Precinct 80,304,550,3,857,0
Precinct,81 - Precinct 81,515,582,7,1104,0
Precinct,82 - Precinct 82,646,341,1,988,0
Precinct,083 - Precinct 83,880,515,4,1399,0
Precinct,084 - Precinct 84,480,595,2,1077,0
Precinct,085 - Precinct 85,926,486,3,1415,0
Precinct,86 - Precinct 86,684,595,2,1281,0
Precinct,87 - Precinct 87,636,439,2,1077,0
Precinct,88 - Precinct 88,592,407,2,1001,0
Precinct,089 - Precinct 89,712,493,1,1206,0
Precinct,90 - Precinct 90,504,278,2,784,0
Precinct,091 - Precinct 91,631,636,0,1267,0
Precinct,092 - Precinct 92,636,361,3,1000,0
Precinct,093 - Precinct 93,160,687,1,848,0
Precinct,94 - Precinct 94,444,325,1,770,0
Precinct,095 - Precinct 95,504,337,1,842,0
Precinct,96 - Precinct 96,331,432,0,763,0
Precinct,097 - Precinct 97,429,552,0,981,0
Precinct,98 - Precinct 98,225,320,2,547,0
Precinct,99 - Precinct 99,202,265,0,467,0
Precinct,100 - Precinct 100,473,183,0,656,0
Precinct,101 - Precinct 101,164,126,0,290,0
Precinct,102 - Precinct 102,83,80,0,163,0
Precinct,103 - Precinct 103,173,251,2,426,0
Precinct,104 - Precinct 104,267,566,1,834,0
Precinct,105 - Precinct 105,223,84,0,307,0
Precinct,106 - Precinct 106,220,268,0,488,0
Precinct,107 - Precinct 107,345,220,0,565,0
Precinct,108 - Precinct 108,129,59,0,188,0
Precinct,Ab - Central Absentee Precinct,4703,13281,24,18008,0
Precinct,Provisional,644,967,0,1611,0
